EVENTMSGTYPE,EVENTMSGACTIONTYPE,EVENTMSGTYPE_DESCRIPTION,EVENTMSGACTIONTYPE_DESCRIPTION
1,0,Made Field Goal,No Shot
1,1,Made Field Goal,3PT Jump Shot
1,3,Made Field Goal,Hook Shot
1,5,Made Field Goal,Layup
1,7,Made Field Goal,Dunk
1,40,Made Field Goal,Layup
1,41,Made Field Goal,Running Layup
1,42,Made Field Goal,Driving Layup
1,43,Made Field Goal,Alley Oop Layup
1,44,Made Field Goal,Reverse Layup
1,45,Made Field Goal,3PT Jump Shot
1,46,Made Field Goal,Running Jump Shot
1,47,Made Field Goal,Turnaround Jump Shot
1,48,Made Field Goal,Dunk
1,49,Made Field Goal,Driving Dunk
1,50,Made Field Goal,Running Dunk
1,51,Made Field Goal,Reverse Dunk
1,52,Made Field Goal,Alley Oop Dunk
1,55,Made Field Goal,Hook Shot
1,56,Made Field Goal,Running Hook Shot
1,57,Made Field Goal,Driving Hook Shot
1,58,Made Field Goal,Turnaround Hook Shot
1,63,Made Field Goal,Fadeaway Jumper
1,66,Made Field Goal,Jump Bank Shot
1,67,Made Field Goal,Hook Bank Shot
1,71,Made Field Goal,Finger Roll Layup
1,72,Made Field Goal,Putback Layup
1,73,Made Field Goal,Driving Reverse Layup
1,74,Made Field Goal,Running Reverse Layup
1,75,Made Field Goal,Driving Finger Roll Layup
1,76,Made Field Goal,Running Finger Roll Layup
1,77,Made Field Goal,Driving Jump Shot
1,78,Made Field Goal,Floating Jump Shot
1,79,Made Field Goal,Pullup Jump Shot
1,80,Made Field Goal,Step Back Jump Shot
1,81,Made Field Goal,Pullup Bank Shot
1,82,Made Field Goal,Driving Bank Shot
1,83,Made Field Goal,Fadeaway Bank Shot
1,85,Made Field Goal,Turnaround Bank Shot
1,86,Made Field Goal,Turnaround Fadeaway
1,87,Made Field Goal,Putback Dunk
1,93,Made Field Goal,Driving Bank Hook Shot
1,96,Made Field Goal,Turnaround Bank Hook Shot
1,97,Made Field Goal,Tip Layup Shot
1,98,Made Field Goal,Cutting Layup Shot
1,99,Made Field Goal,Cutting Finger Roll Layup Shot
1,100,Made Field Goal,Running Alley Oop Layup Shot
1,101,Made Field Goal,Driving Floating Jump Shot
1,102,Made Field Goal,Driving Floating Bank Jump Shot
1,103,Made Field Goal,3PT Running Pull-Up Jump Shot
1,104,Made Field Goal,Step Back Bank Jump Shot
1,105,Made Field Goal,Turnaround Fadeaway Bank Jump Shot
1,106,Made Field Goal,Running Alley Oop Dunk
1,107,Made Field Goal,Tip Dunk
1,108,Made Field Goal,Cutting Dunk
1,109,Made Field Goal,Driving Reverse Dunk
